2022-05-15 23:05:106 INFO  BuildYourOwnComputerPage :64 - Select processor : [[ChromeDriver: chrome on WINDOWS (6e413ae003fa08be8e9b3d2c8e4e64a0)] -> xpath: //dd[1]//select[1]]
2022-05-15 23:05:180 INFO  BuildYourOwnComputerPage :69 - Select ram : [[ChromeDriver: chrome on WINDOWS (6e413ae003fa08be8e9b3d2c8e4e64a0)] -> xpath: //dd[2]//select[1]]
2022-05-15 23:05:241 INFO  BuildYourOwnComputerPage :78 - Select HDD : 320 GB
2022-05-15 23:05:348 INFO  BuildYourOwnComputerPage :97 - select software : Total Commander [+$5.00]
2022-05-15 23:05:143 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 23:05:295 INFO  HomePage :51 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (b8c644a8111878b8cee8f885b5ad16e1)] -> link text: Log in]
2022-05-15 23:05:334 INFO  LoginPage :44 - Getting text from : [[ChromeDriver: chrome on WINDOWS (b8c644a8111878b8cee8f885b5ad16e1)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 23:05:193 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 23:05:742 INFO  HomePage :51 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (3fd113fc6cef33ef8ac03f51df79a398)] -> link text: Log in]
2022-05-15 23:05:849 INFO  LoginPage :50 - Enter Email : [[ChromeDriver: chrome on WINDOWS (3fd113fc6cef33ef8ac03f51df79a398)] -> id: Email]
2022-05-15 23:05:162 INFO  LoginPage :55 - Enter Password : [[ChromeDriver: chrome on WINDOWS (3fd113fc6cef33ef8ac03f51df79a398)] -> name: Password]
2022-05-15 23:05:611 INFO  LoginPage :60 - Click on login Button : [[ChromeDriver: chrome on WINDOWS (3fd113fc6cef33ef8ac03f51df79a398)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-15 23:05:469 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 23:05:17 INFO  HomePage :51 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (5ef938476f537f06d7e80d62a9c8ef5f)] -> link text: Log in]
